fecha_iso,ancho_mm,alto_mm,categoria,serie
2006-10-10,230,162,mediano_grande,"Exposición Mundial de Filatelia ESPAÑA 2006. Málaga La Música, El Canto del Loco"
2006-10-11,230,162,mediano_grande,"Exposición Mundial de Filatelia ESPAÑA 2006. Málaga El Flamenco, Cristina Hoyos y José Mercé"
2006-10-12,230,162,mediano_grande,"Exposición Mundial de Filatelia ESPAÑA 2006. Málaga Deportes, Pau Gasol y Rafa Nadal"
2006-10-13,230,162,mediano_grande,Exposición Mundial de Filatelia ESPAÑA 2006. Málaga Museo Picasso
2006-11-03,230,162,mediano_grande,Vidriera de la Escuela Técnica Superior de Arquitectura de Madrid
2007-01-02,250,190,mediano_grande,Juguetes
2007-04-13,230,162,mediano_grande,25 Aniversario de la Movida Madrileña
2007-04-16,230,162,mediano_grande,Exposición Filatélica Nacional EXFILNA 2007. Palma de Mallorca
2007-07-12,250,190,mediano_grande,Deportes. Al filo de lo imposible
2007-09-06,230,162,mediano_grande,Faros
2007-09-13,230,162,mediano_grande,Arqueología mediterránea. Emisión conjunta con Grecia
2007-10-14,230,162,mediano_grande,Moda española. Cristóbal Balenciaga
2007-11-09,230,162,mediano_grande,Vidrieras. Banco de España
2008-01-02,230,162,mediano_grande,Juguetes
2008-04-16,230,162,mediano_grande,Juegos y deportes tradicionales
2008-04-23,230,162,mediano_grande,Europa. Bodegón con cartas de Enrique Jiménez Carrero
2008-04-28,230,162,mediano_grande,Exposición Filatélica Nacional EXFILNA 2008. Oviedo
2008-05-16,230,162,mediano_grande,Juegos y deportes tradicionales
2008-06-05,230,162,mediano_grande,Juegos y deportes tradicionales
2008-06-13,230,162,mediano_grande,Expo Zaragoza 2008
2008-07-04,230,162,mediano_grande,Expo Zaragoza 2008
2008-07-16,230,162,mediano_grande,Juegos y deportes tradicionales
2008-07-24,230,162,mediano_grande,Deportes. Selección española de fútbol
2008-07-29,230,162,mediano_grande,Patrimonio Nacional. Tapices
2008-09-02,230,162,mediano_grande,Faros
2008-10-09,230,140,mediano_grande,Juegos y deportes tradicionales
2008-10-23,230,162,mediano_grande,Moda española. Museo del Traje
2008-10-27,230,162,mediano_grande,Juegos y deportes tradicionales
2008-11-07,230,162,mediano_grande,"Bailes populares. Emisión conjunta con Irlanda Irish dance, Irlanda y Flamenco, España"
2008-11-14,230,162,mediano_grande,Vidriera de la Real Academia Española
2009-01-02,230,162,mediano_grande,Autonomías
2009-04-15,230,162,mediano_grande,Faros
2009-04-27,230,162,mediano_grande,Bailes y danzas populares. Las Sevillanas
2009-05-29,230,162,mediano_grande,Vidrieras. F.N.M.T. de Burgos
2009-06-15,230,162,mediano_grande,Moda española. Manuel Piña
2009-07-06,230,162,mediano_grande,Patrimonio Nacional. Tapices
2009-07-10,230,162,mediano_grande,X Aniversario de la creación del Euro
2009-09-09,230,162,mediano_grande,Arquitectura
2009-10-06,230,162,mediano_grande,Exposición Filatélica Nacional EXFILNA 2009. Irún
2009-10-15,230,162,mediano_grande,Bailes y danzas populares. La Jota
2009-10-22,230,162,mediano_grande,Pintura. La Infanta Margarita Teresa y Las Meninas de Velázquez
2009-10-31,230,162,mediano_grande,Navidad. Adoración al Niño
2010-01-02,230,162,mediano_grande,Autonomías
2010-02-18,230,162,mediano_grande,Cerámica española. Talavera
2010-03-04,230,162,mediano_grande,Catedrales de Plasencia
2010-04-21,230,162,mediano_grande,Expo Shanghai 2010
2010-05-06,230,162,mediano_grande,Efemérides. 1100 Aniversario del Reino de León
2010-06-19,230,162,mediano_grande,Exposición Nacional de Filatelia Temática FILATEM 2010. Avilés
2010-07-12,230,162,mediano_grande,Patrimonio Nacional. Tapices
2010-07-15,230,162,mediano_grande,Catedral de Segovia
2010-09-17,230,162,mediano_grande,Patrimonio Mundial. Mezquita Catedral de Córdoba
2010-09-20,230,162,mediano_grande,Faros
2010-10-15,230,162,mediano_grande,Moda española. Manuel Pertegaz
2010-10-18,230,162,mediano_grande,Alianza de Civilizaciones. Emisión conjunta con Turquía
2010-10-18,230,162,mediano_grande,Exposición Filatélica Nacional EXFILNA 2010. Madrid
2010-10-21,230,162,mediano_grande,Deportes. España Campeona del Mundial de Futbol de la FIFA
2010-11-05,230,162,mediano_grande,Milenario del Monasterio de San Salvador de Oña. Burgos
2010-11-08,230,162,mediano_grande,Catedral de Santiago. Bilbao
2011-01-03,230,162,mediano_grande,Autonomías
2011-03-04,230,162,mediano_grande,Catedral de Sigüenza
2011-04-11,230,162,mediano_grande,Faros
2011-04-26,230,162,mediano_grande,Premio Goya de Honor
2011-05-12,230,162,mediano_grande,Patrimonio Mundial. Alhambra de Granada
2011-05-26,230,162,mediano_grande,Patrimonio Nacional. Tapices
2011-05-31,230,162,mediano_grande,Centenario de la Aviación Militar Española
2011-07-13,230,162,mediano_grande,Catedral de Albarracín
2011-09-05,230,162,mediano_grande,Cerámica española. Cerámica de Manises
2011-09-12,230,162,mediano_grande,Arte contemporáneo. Antoni Tapies
2011-09-19,250,190,mediano_grande,Selección española de fútbol 1900-2010
2011-10-01,230,162,mediano_grande,Exposición Filatélica Nacional EXFILNA 2011. Valladolid
2011-10-20,230,162,mediano_grande,Moda española. Elio Berhanyer
2011-11-08,230,162,mediano_grande,Catedral de Tarazona
2012-01-02,230,162,mediano_grande,Arcos y Puertas monumentales
2012-01-02,230,162,mediano_grande,Todos por Lorca
2012-03-08,230,162,mediano_grande,Patrimonio Nacional. Tapices
2012-03-16,230,162,mediano_grande,Patrimonio Nacional. Catedral de Burgos
2012-04-02,230,162,mediano_grande,Instrumentos musicales
2012-04-17,230,162,mediano_grande,Catedral de Sevilla
2012-05-21,230,162,mediano_grande,Catedral de Toledo
2012-05-30,230,162,mediano_grande,Coches de época
2012-06-14,230,162,mediano_grande,Catedral de Santiago de Compostela
2012-07-01,230,162,mediano_grande,Catedral de Oviedo
2012-07-18,230,162,mediano_grande,Arte contemporáneo. Manolo Valdés
2012-09-10,230,162,mediano_grande,Catedral de Palma de Mallorca
2012-09-17,230,162,mediano_grande,Moda española. Pedro del Hierro
2012-10-05,230,162,mediano_grande,Exposición Filatélica Nacional EXFILNA 2012. Calahorra
2012-10-09,230,162,mediano_grande,Catedral de Barcelona
2012-11-06,230,162,mediano_grande,Deportes. Campeón España. Copa de la UEFA EURO 2012
2012-11-15,230,162,mediano_grande,Catedral de León
2013-01-02,230,162,mediano_grande,Arcos y Puertas Monumentales
2013-02-22,230,162,mediano_grande,Instrumentos musicales
2013-03-11,230,162,mediano_grande,Arte contemporáneo. Antonio López
2013-03-15,230,162,mediano_grande,Coches de época
2013-03-21,230,162,mediano_grande,Patrimonio Mundial. Real Monasterio de San Lorenzo de El Escorial
2013-04-08,230,162,mediano_grande,"Cine español. Rafael Gil, Fernando Fernán Gómez y Toni Leblanc"
2013-04-25,230,162,mediano_grande,Patrimonio Nacional. Tapices
2013-05-04,230,162,mediano_grande,Puentes de España. Ribadeo
2013-06-03,230,162,mediano_grande,Fauna marina en peligro de extinción
2013-07-09,230,162,mediano_grande,XXIII Campeonato del mundo de balonmano. Campeones
2013-09-12,230,162,mediano_grande,Moda española. Paco Rabanne
2013-09-18,230,162,mediano_grande,Valores cívicos escolares
2013-09-20,230,162,mediano_grande,Exposición Filatélica Nacional EXFILNA 2013. León
2013-09-25,230,162,mediano_grande,Puentes de España. Puente del Pilar. Zaragoza
